Program,Program Type/Target,Level of Government,Category,Income or Asset Tested,Eligibility Category,Other Eligibility Requirements:,Program Overview,Website Link,Notes,Importance Ranking
Canada Child Benefit,Children and Family,Federal,Income Support,Income Tested,Dependent child(ren),,The Canada child benefit (CCB) is a tax-free monthly payment made to eligible families to help them with the cost of raising children under 18 years of age.,https://www.canada.ca/en/revenue-agency/services/child-family-benefits/canada-child-benefit-overview.html,,2
Child Disability Benefit,Children and Family,Federal,Income Support,Income Tested,Dependent child(ren) AND Disability,,The child disability benefit is a tax-free monthly payment made to families who care for a child under age 18 with a severe and prolonged impairment in physical or mental functions.,https://www.canada.ca/en/revenue-agency/services/child-family-benefits/child-disability-benefit.html,,1
Affordable Child Care Benefit,Children and Family,Provincial,Income Support,Income Tested,Dependent child(ren),"Child in childcare because individual/family is searching for work, is attending school, is employed, or has a medical condition that interferes with their ability to care for their child","The ACCB helps families with the cost of child care, depending on factors like family size, type of care and household income.",https://www2.gov.bc.ca/gov/content/family-social-supports/caring-for-young-children/child-care-funding/child-care-benefit,,1
Automatic Child Benefits Top-Up Supplement,Children and Family,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)","Family unit's  child benefit payment is less than $197.95/month for 1 child, $173.13/month for the second child, and $166.64/month for each additional child","The child benefits top-up supplement is a provincial government benefit, administered by the BC Employment and Assistance (BCEA) program, designed to support BCEA families with dependent children when a family unit’s CCB payment is less than the child benefits top-up supplement",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/child-benefits-top-up-supplement,,1
BC Child Opportunity Benefit,Children and Family,Provincial,Income Support,Income Tested,Dependent child(ren),,The B.C. Child Opportunity Benefit provides a tax-free monthly payment to families with children under the age of 18.,https://www2.gov.bc.ca/gov/content/family-social-supports/family-benefits/child-opportunity-benefit,Will be implemented in Oct. 2020,2
Camp Fees Supplement,Children and Family,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",Attendance at a recognized camp,A supplement may be provided to fully or partially cover the cost of attendance at a recognized camp for children of income assistance and disability assistance recipients and adult recipients of disability assistance.,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/camp-fees-supplement,Subject to available funding,1
Childcare Fee Reduction Initiative,Children and Family,Provincial,Income Support,Neither,Other,Licensed child care provider,The purpose of the CCFRI is to help enhance childcare affordability through parent fee reduction funding and stabilized childcare fees.  Parents do not need to apply for the fee reduction. Child care providers need to apply in order to receive funding. Participation in CCFRI is voluntary.,https://www2.gov.bc.ca/gov/content/family-social-supports/caring-for-young-children/running-daycare-preschool/child-care-operating-funding/child-care-fee-reduction-initiative-provider-opt-in-status,,1
Crisis Supplement,Financial Supports: Non-Work,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)","Unexpected expense and the failure to meet it will result in imminent danger to the physical health of any person in the family unit or removal of a child under the Child, Family and Community Service Act","A crisis supplement may be available to provide recipients who face unexpected emergency needs with a one-time payment to prevent imminent danger to their physical health or the removal of a child under the Child, Family and Community Service Act.",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/crisis-supplement,,1
Family Maintenance Services,Children and Family,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",,"Provides help  to clients with obtaining or defending a maintenance order or written agreement, the client may request family maintenance services and assign their maintenance rights to the ministry.",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/family-maintenance-services,,1
"Moving, Transportation and Living Costs (for child protection hearing)",Children and Family,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",recipient is a party in a child protection proceeding,"To cover necessary moving, transportation, and living expenses including expenses related to attending child protection hearings and family maintenance services",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/moving-transportation-and-living-costs,,1
Nutritional Supplement: infant formula,Children and Family,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",Child has a medical condition that requires specialized formula to treat OR child is at risk of contracting a disease through breast feeding,Regular infant formula may be provided to children during the first 12 months when there is a medically confirmed risk of disease transmittal from the mother's breast milk; and specialized infant formula may be provided to children who have a confirmed medical condition that requires the specialized formula.,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/health-supplements-and-programs/nutritional-supplements,Until child is 12 months,1
School Start-up Supplement,Children and Family,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",,To assist with extra costs associated with schooling for a person under 19 years of age,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/school-start-up-supplement,,1
Temporary Child Benefits Top-Up Supplement,Children and Family,Provincial,Income Support,Neither,Dependent child(ren),Refugee Claimants and clients in Canada under a Temporary Resident Permit that do not meet the 18-month residency requirement for CCB as required by the Canada Revenue Agency (CRA),This supplement is provided by SDPR in specific circumstances when families are temporarily without the federal Canada Child Benefit ,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/child-benefits-top-up-supplement,,1
Temporary Child Benefits Top-Up Supplement,Children and Family,Provincial,Income Support,Neither,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",,This supplement is provided by SDPR in specific circumstances when families are temporarily without the federal Canada Child Benefit ,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/child-benefits-top-up-supplement,,1
Education and Training Benefit,"Education, Training, and Employment",Federal,Income Support,Neither,Veteran or Canadian Armed Forces,,Helps in financing veteran's education,https://www.veterans.gc.ca/eng/education-and-jobs/back-to-school/education-training-benefit,Amount payable based on years of service,1
Aboriginal Leadership Opportunities Year,"Education, Training, and Employment",Federal,Income Support,Neither,First nations/aboriginal/inuit,,"One-year program at RMC designed to provide students of Indigenous heritage with individual, group, and cultural experiences that will help build leadership and life skills.",https://forces.ca/en/programs-for-indigenous-peoples/#aloyt,,1
Apprenticeship Completion Grant (ACG),"Education, Training, and Employment",Federal,Income Support,Neither,Other,Completion of journeyman certification,Taxable cash grant for registered apprentices who successfully complete their program,https://www.canada.ca/en/employment-social-development/services/funding/apprenticeship-completion-overview.html,,1
Apprenticeship Incentive Grant (AIG),"Education, Training, and Employment",Federal,Income Support,Neither,Other,Enrolled in apprenticeship program,The Apprenticeship Incentive Grant (AIG) helps you pay for expenses while you train as an apprentice in a designated Red Seal trade.,https://www.canada.ca/en/employment-social-development/services/funding/apprenticeship-incentive-overview.html,,1
Apprenticeship Incentive Grant for Women,"Education, Training, and Employment",Federal,Income Support,Neither,Other,Women AND Enrolled in apprenticeship program,The Apprenticeship Incentive Grant for Women (AIG-W) helps you pay for expenses while you train as an apprentice in a Designated Red Seal Trade where women are underrepresented.,https://www.canada.ca/en/employment-social-development/services/funding/apprenticeship-incentive-women-overview.html,,1
Canada Education Savings Grant ,"Education, Training, and Employment",Federal,Income Support,Neither,Dependent child(ren),,The Canada Education Savings Grant (CESG) is money that the Government adds to a Registered Education Savings Plan (RESP). This money helps to pay the costs of a child’s full- or part-time studies after high school ,https://www.canada.ca/en/services/benefits/education/education-savings/savings-grant.html,RESP matching grant,1
Canada Education Savings Grant addition,"Education, Training, and Employment",Federal,Income Support,Income Tested,Dependent child(ren),,The Additional amount of CESG is available to eligible children from middle- and low-income families. ,https://www.canada.ca/en/services/benefits/education/education-savings/savings-grant/eligibility.html,,1
Canada Learning Bond,"Education, Training, and Employment",Federal,Income Support,Income Tested,Dependent child(ren) AND Low Income,,The Canada Learning Bond (CLB) is money that the Government adds to a Registered Education Savings Plan (RESP) for children from low-income families. This money helps to pay the costs of a child’s full- or part-time studies after high school ,https://www.canada.ca/en/employment-social-development/services/learning-bond.html,,1
Canada Student Grants,"Education, Training, and Employment",Federal,Income Support,Income Tested,Other,Attending post-secondary,The Government of Canada offers student grants and loans to full-time and part-time students. Grants and loans help students pay for their post-secondary education.,https://www.canada.ca/en/services/benefits/education/student-aid/grants-loans.html,,1
Canada Student Loans,"Education, Training, and Employment",Federal,Income Support,Income Tested,Other,Attending post-secondary,,,,1
Canada Training Credit,"Education, Training, and Employment",Federal,Income Support,Income Tested,Other,Employed,"To help Canadians with the cost of training fees. Eligible workers between the ages of 25 and 64 accumulate a credit balance at a rate of $250 per year, up to a lifetime limit of $5,000. The credit can be used to refund up to half the costs of taking a course or enrolling in a training program.",https://www.budget.gc.ca/2019/docs/themes/good-jobs-de-bons-emplois-en.html,,1
First Nation & Inuit post-secondary student support program,"Education, Training, and Employment",Federal,Income Support,Neither,First nations/aboriginal/Inuit,,The program aims to improve the employability of First Nations and eligible Inuit students by providing them with funding to access education and skills development opportunities at the post-secondary level.,https://www.sac-isc.gc.ca/eng/1100100033682/1531933580211,,1
Skills Link,"Education, Training, and Employment",Federal,Income Support,Neither,Other,Youth,"The Skills Link program is a component of the Government of Canada's Youth Employment Strategy (YES). Through funding of organizations, the Skills Link program helps youth overcome barriers to employment, develop a broad range of skills and knowledge in order to participate in the current and future labour market and to promote education and skills as being key to labour market participation",https://www.canada.ca/en/employment-social-development/services/funding/skills-link.html,,1
Aboriginal Emergency Assistance Fund (post-secondary),"Education, Training, and Employment",Provincial,Income Support,Neither,First nations/aboriginal/Inuit,Short-term financial crisis,Emergency financial assistance is provided by public post-secondary institutions to assist students who have urgent unforeseen financial needs that may prevent them from finishing their studies; students to contact the “Aboriginal Student Services at their institution ,,Subject to available funding,1
Agreements with Young Adults,"Education, Training, and Employment",Provincial,Income Support,Neither,Other,Formerly in foster care AND ages 19-26,"For persons who had been foster care or had a Youth Agreement, this program helps cover the cost of things like housing, child care, tuition and health care while they go back to school, or attend rehabilitation, vocational or approved life skills program",https://www2.gov.bc.ca/gov/content/family-social-supports/youth-and-family-services/teens-in-foster-care/agreements-with-young-adults,To be used for living expenses while attending school/training,1
BC access grant for students with permanent disabilities,"Education, Training, and Employment",Provincial,Income Support,Income Tested,Disability,,"This program helps full-time students with a permanent disability with the cost of education by replacing approximately $1,000 in B.C. student loan funding",https://studentaidbc.ca/explore/grants-scholarships/bc-access-grant-students-permanent-disabilities,,1
BC Education and Training Savings Grant ,"Education, Training, and Employment",Provincial,Income Support,Neither,Dependent child(ren),,"The BC Government will contribute $1,200 to eligible children (who are beneficiaries of an RESP) through the BC Training and Education Savings Grant (BCTESG). The BCTESG requires no matching or additional contributions",https://www2.gov.bc.ca/gov/content/education-training/k-12/support/scholarships/bc-training-and-education-savings-grant,RESP matching grant,1
Community Adult Literacy Program,"Education, Training, and Employment",Provincial,Income Support,Neither,Other,,The Community Adult Literacy Program (CALP) is a community-based literacy initiative to promote and deliver adult literacy programs and services across the province; the goal of CALP is to increase the literacy and numeracy levels of adults 19 years and older through one on one or small group learning environments ,,,1
Skills Training for Employment (WDA),"Education, Training, and Employment",Provincial,Income Support,Neither,Other,Unemployed Or underemployed,Provide skills training and supports to those who face barriers to employment. The B.C. Government is investing over $50M per year in programs for vulnerable and under-represented groups. Included in this programming is a new program (the Skills Training for Employment program (STE) targeting: young adults; young adults at risk (including former youth in care); survivors of violence and abuse; older workers 55+; people with multiple barriers to employment; and indigineous peoples,https://www.workbc.ca/Training-Education/Skills-Training-for-Employment.aspx,,2
StudentAid BC,"Education, Training, and Employment",Provincial,Income Support,Neither,Other,Attending post-secondary,"StudentAid BC helps eligible students with the cost of their post-secondary education through loans, grants, scholarships, and other programs",https://studentaidbc.ca,"Variety of loans, grants, and scholarships",2
Travel Supplement,"Education, Training, and Employment",Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Disability",,May be provided to assist with the cost of attending a self-help skill program or supported work-placement program approved by Community Living British Columbia ,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/travel-supplement,,1
WorkBC  Employment Services (LMDA),"Education, Training, and Employment",Provincial,Income Support,Neither,Other,Unemployed Or underemployed,WorkBC Employment Services supports all unemployed British Columbians in achieving sustainable employment through an integrated system of employment services and supports,https://www.workbc.ca/Employment-Services/Labour-Market-Programs/Employment-Services-and-Supports-Program.aspx,"Referrals from EI, BCEA programs, and CommunityLiving",2
WorkBC Apprentice Services (LMDA),"Education, Training, and Employment",Provincial,Income Support,Income Tested,Other,Unemployed Or underemployed,"Apprentices who meet Employment Insurance (EI) client eligibility requirements are eligible for financial supports WorkBC while participating in the classroom technical training components of their apprenticeship training. WorkBC Apprentice Services helps with expenses such as living supports, travel, dependent care and disability-related costs.",https://www.workbc.ca/Employment-Services/Apprentice-Services.aspx,Part of the LMDA ,1
WorkBC Assistive Technology Services (LMDA),"Education, Training, and Employment",Provincial,Income Support,Neither,Disability,,Assistive Technology Services provides equipment and devices to help individuals thrive in the workplace.,https://www.workbc.ca/Employment-Services/Assistive-Technology-Services.aspx,Part of the LMDA ,1
WorkBC Single Parent Employment Initiative (LMDA),"Education, Training, and Employment",Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",Single Parent,Provides financial and Employment Service Centres service/supports to single parents on income or disability assistance to help them re-enter the workforce.,https://www2.gov.bc.ca/gov/content/family-social-supports/income-assistance/on-assistance/employment-planning/spei,Part of the LMDA ,2
Provincial Tuition Waiver Program,"Education, Training, and Employment",Provincial,Income Support,Neither,Other,Former youth in care AND 19-26 years old AND attending post-secondary in BC,This program waives tuition fees for B.C. students who are former youth in care between 19 and up to their 27th birthday who are attending a B.C. public post-secondary institution.,https://www2.gov.bc.ca/gov/content/education-training/post-secondary-education/pay-for-school/provincial-tuition-waiver-program,,1
Youth Educational Assistance Fund for Former Youth in Care,"Education, Training, and Employment",Provincial,Income Support,Neither,Other,Former youth in care AND 19-24 years old,"This program provides grants of up to $5,500 per program year to former BC youth in care students between 19 and 24 years of age. Students may receive a maximum of four grants",https://studentaidbc.ca/explore/grants-scholarships/youth-educational-assistance-fund-former-youth-care#Am_I_eligible?,To cover tuition,1
Language Instruction for Newcomers to Canada,"Education, Training, and Employment",Federal,Income Support,Neither,Immigrant/Refugee/New to Canada,,"If you’re a permanent resident or a protected person, you can take language classes at no cost. They are funded by the government.",https://www.canada.ca/en/immigration-refugees-citizenship/services/new-immigrants/new-life-canada/improve-english-french/classes.html,,1
Career Paths for Skilled Immigrants,"Education, Training, and Employment",Provincial,Income Support,Neither,Immigrant/Refugee/New to Canada,Unemployed Or underemployed,Program provides services to help immigrants find skilled employment in BC using the education and experience they bring to Canada.  Services are customized to the participant’s needs including support specific to in-demand occupations,https://www.workbc.ca/Employment-Services/Labour-Market-Programs/Career-Paths-for-Skilled-Immigrants-Program.aspx,,1
Canadian Forces Disability Benefits,Financial Supports: Non-Work,Federal,Income Support,Neither,Veteran or Canadian Armed Forces AND Disability,,"A disability benefit is a tax-free, financial payment to support your well-being. The amount you receive depends on the degree to which your condition is related to your service (entitlement) and the severity of your condition, including its impact on your quality of life (assessment).",https://www.veterans.gc.ca/eng/health-support/physical-health-and-wellness/compensation-illness-injury/disability-benefits,,1
Canadian Forces Income Support,Financial Supports: Non-Work,Federal,Income Support,Income Tested,Veteran or Canadian Armed Forces AND Low Income,,"The Canadian Forces Income Support is a tax-free monthly benefit. It helps low-income CAF Veterans who no longer qualify for the Earnings Loss Benefit, after participating in the Rehabilitation program.",https://www.veterans.gc.ca/eng/financial-support/income-support/canadian-forces-income-support,Looking for work,1
Veteran Exceptional Incapacity Allowance,Financial Supports: Non-Work,Federal,Income Support,Neither,Veteran or Canadian Armed Forces AND Disability,,The Exceptional Incapacity Allowance is a tax-free monthly payment that recognizes that your serious illness or injury has a significant effect on your quality of life.,https://www.veterans.gc.ca/eng/health-support/physical-health-and-wellness/compensation-illness-injury/exceptional-incapacity-allowance,,1
Veteran's Attendance Allowance,Financial Supports: Non-Work,Federal,Income Support,Neither,Veteran or Canadian Armed Forces AND Disability,Needs assistance with daily living activities,"The attendance allowance helps to cover the cost of hiring a caregiver to assist you in your day-to-day life. The amount you can receive is based on the level of care you need, from occasional to full-time supervision and care.",https://www.veterans.gc.ca/eng/health-support/physical-health-and-wellness/compensation-illness-injury/attendance-allowance,,1
Veterans Clothing Allowance,Financial Supports: Non-Work,Federal,Income Support,Neither,Veteran or Canadian Armed Forces AND Disability,Disability affects clothing,"If you buy special clothes to accommodate your disability you may qualify for this allowance. For example, you may wear a brace, splint, or prosthetic that requires specially-made clothes, or that causes extra wear and tear. You can also use the monthly allowance to pay for your damaged clothes to be mended.",https://www.veterans.gc.ca/eng/health-support/physical-health-and-wellness/compensation-illness-injury/clothing-allowance,,1
Veteran's Detention Benefit,Financial Supports: Non-Work,Federal,Income Support,Neither,Veteran or Canadian Armed Forces,"Detained or evaded capture by an enemy, opposing force, or terroist group (after Apr. 2006)","The Detention Benefit is a tax-free lump-sum payment for Veterans or CAF members who were detained by an enemy, opposing force or terrorist group while serving in the Canadian Armed Forces.",https://www.veterans.gc.ca/eng/financial-support/prisoner-of-war-benefits/detention-benefit,,1
Veteran's Independence Program,Financial Supports: Non-Work,Federal,Income Support,Income Tested,Veteran or Canadian Armed Forces AND Disability,,"The Veterans Independence Program provides funding for services such as grounds maintenance, housekeeping, meal preparation, personal care, and professional health and support services.",https://www.veterans.gc.ca/eng/housing-and-home-life/help-at-home/veterans-independence-program,,1
Veteran's Independence Program,Financial Supports: Non-Work,Federal,Income Support,Income Tested,Veteran or Canadian Armed Forces AND Low Income,,"The Veterans Independence Program provides funding for services such as grounds maintenance, housekeeping, meal preparation, personal care, and professional health and support services.",https://www.veterans.gc.ca/eng/housing-and-home-life/help-at-home/veterans-independence-program,,1
Veteran's Independence Program for Survivors,Financial Supports: Non-Work,Federal,Income Support,Income Tested,Disability,Spouse/common-law partner of deceased veteran,The Veterans Independence Program for survivors provides annual funding to help cover the cost for services such as grounds maintenance and housekeeping.,https://www.veterans.gc.ca/eng/housing-and-home-life/help-at-home/veterans-independence-program-survivors,,1
Veteran's Independence Program for Survivors,Financial Supports: Non-Work,Federal,Income Support,Income Tested,Low Income,Spouse/common-law partner of deceased veteran,The Veterans Independence Program for survivors provides annual funding to help cover the cost for services such as grounds maintenance and housekeeping.,https://www.veterans.gc.ca/eng/housing-and-home-life/help-at-home/veterans-independence-program-survivors,,1
War Veterans Allowance,Financial Supports: Non-Work,Federal,Income Support,Income Tested,Veteran or Canadian Armed Forces AND Low Income,,"Are you having serious financial difficulties because of low or no income? The War Veterans Allowance (WVA) is a tax-free, monthly benefit to help low-income war Veterans and their dependents or their survivors.",https://www.veterans.gc.ca/eng/financial-support/income-support/war-veterans-allowance,Same elgibility as GIS,1
War Veterans Death Benefit,Financial Supports: Non-Work,Federal,Income Support,Neither,Other,Survivor,The Death Benefit is paid to a spouse or common-law partner and the dependent children of a Canadian Armed Forces member who died as a result of a service-related injury or illness.,https://www.veterans.gc.ca/eng/financial-support/death-and-bereavement/death-benefit,,1
War Veteran's Funeral and Burial Assistance,Financial Supports: Non-Work,Federal,Income Support,Means Tested,Veteran or Canadian Armed Forces AND Low Income,,"Funeral and burial assistance is provided throughthe Last Post Fund – a non-profit organization – to help pay for funeral and burial services, including a military gravestone, for eligible Veterans.",https://www.veterans.gc.ca/eng/financial-support/death-and-bereavement/funeral-burial-assistance,,1
War Veteran's Prisoner of War Compensation,Financial Supports: Non-Work,Federal,Income Support,Neither,Veteran or Canadian Armed Forces,Detained/POW during WWII,"Prisoner of War Compensation is a tax-free benefit for Veterans of the Second World War and the Korean War, who were detained or evaded capture for more than 30 days.",https://www.veterans.gc.ca/eng/financial-support/prisoner-of-war-benefits/prisoner-of-war-compensation,,1
Immigration Loans Program ,Financial Supports: Non-Work,Federal,Income Support,Income Tested,Immigrant/Refugee/New to Canada,,The Immigration Loans Program provides financial help to refugees selected for resettlement. ,https://www.canada.ca/en/immigration-refugees-citizenship/corporate/publications-manuals/operational-bulletins-manuals/service-delivery/immigration-loans-program.html,For securing travel documents or to cover basic needs or employment-specific costs,1
Resettlement Assistance Program,Financial Supports: Non-Work,Federal,Income Support,Neither,Immigrant/Refugee/New to Canada,,"The Government of Canada gives resettlement help to Convention Refugees Abroad. Immediate and essential services are delivered by Service Provider Organizations (SPOs), generally within the first 4-6 weeks of a newcomer’s arrival in Canada. Activities include the following: providing temporary accommodation, providing basic orientation to Canada, life skills training and financial orientation, assisting in finding permanent accommodation, and referring to other settlement programs.",https://www.canada.ca/en/immigration-refugees-citizenship/corporate/publications-manuals/operational-bulletins-manuals/service-delivery/resettlement-assistance-program.html,,1
Allowance for People Aged 60 to 64,Financial Supports: Non-Work,Federal,Income Support,Income Tested,Senior AND Low Income,,The Allowance is a benefit available to low-income individuals aged 60 to 64 who are the spouse or common-law partner of a Guaranteed Income Supplement (GIS) recipient.,https://www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security/guaranteed-income-supplement/allowance.html,,1
Allowance for the Survivor,Financial Supports: Non-Work,Federal,Income Support,Income Tested,Senior AND Low Income,Survivor,"The Allowance for the Survivor is a benefit available to people aged 60 to 64 who have a low income, who are living in Canada, and whose spouse or common-law partner has died.",https://www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security/guaranteed-income-supplement/allowance-survivor.html,,1
Disability Savings Bonds,Financial Supports: Non-Work,Federal,Income Support,Income Tested,Disability AND Low Income,,Individuals with an RDSP can apply for a Canada Disability Savings Grant or Bond. The Canada Disability Savings Bond is a government contribution to the Registered Disability Savings Plans (RDSPs) of low and modest income Canadians.,https://www.canada.ca/en/employment-social-development/programs/disability/savings/grants-bonds.html,Payment into RDSP,1
Disability Savings Grant,Financial Supports: Non-Work,Federal,Income Support,Income Tested,Disability,,Individuals with an RDSP can apply for a Canada Disability Savings Grant or Bond. The Canada Disability Savings Grant is a matching grant of up to 300% depending on the beneficiary's family income and contribution,https://www.canada.ca/en/employment-social-development/programs/disability/savings/grants-bonds.html,Payment into RDSP,1
Disability Tax Credit,Financial Supports: Non-Work,Federal,Income Support,Neither,Disability,,The disability tax credit (DTC) is a non-refundable tax credit that helps persons with disabilities or their supporting persons reduce the amount of income tax they may have to pay.,https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities/disability-tax-credit.html,Non-refundable tax credit,2
Excise Gasoline Tax Refund,Financial Supports: Non-Work,Federal,Income Support,Neither,Disability,Cannot safely use public transit,"Individuals who have a permanent mobility impairment and cannot safely use public transportation, can request a refund of part of the federal excise tax on the gasoline you buy. A qualified medical practitioner must certify the impairment",https://www.canada.ca/en/revenue-agency/services/forms-publications/forms/xe8.html,,1
GST/HST Credit,Financial Supports: Non-Work,Federal,Income Support,Income Tested,Low Income,,The GST/HST credit is a tax-free quarterly payment that helps individuals and families with low and modest incomes offset all or part of the GST or HST that they pay,https://www.canada.ca/en/revenue-agency/services/child-family-benefits/goods-services-tax-harmonized-sales-tax-gst-hst-credit.html,,2
Guaranteed Income Supplement,Financial Supports: Non-Work,Federal,Income Support,Income Tested,Senior AND Low Income,,The Guaranteed Income Supplement (GIS) provides a monthly non-taxable benefit to Old Age Security (OAS) pension recipients who have a low income and are living in Canada,https://www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security/guaranteed-income-supplement.html,,2
Old Age Security Pension,Financial Supports: Non-Work,Federal,Income Support,Income Tested,Senior,,The Old Age Security (OAS) pension is a monthly payment available to seniors aged 65 and older who meet the Canadian legal status and residence requirements,https://www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security.html,,2
BC Bus Pass for Seniors,Financial Supports: Non-Work,Provincial,Income Support,Income Tested,Senior AND Low Income,,Low income seniors and other eligible recipients living in an area served by BC Transit or TransLink may receive a reduced-cost bus pass,https://www2.gov.bc.ca/gov/content/transportation/passenger-travel/buses-taxis-limos/bus-pass/seniors,,2
