Program,Program Type/Target,Level of Government,Category,Income or Asset Tested,Eligibility Category,Other Eligibility Requirements:,Program Overview,Website Link,Notes,Importance Ranking
BC Farmer's Market Nutrition Program,Financial Supports: Non-Work,Provincial,Income Support,Income Tested,Dependent child(ren) AND Low Income,,"BC Farmer’s Market Nutrition Program helps low-income individuals and seniors gain access to healthy, locally grown food through provision of coupons ",https://bcfarmersmarket.org/coupon-program/how-it-works/,,1
BC Farmer's Market Nutrition Program,Financial Supports: Non-Work,Provincial,Income Support,Income Tested,Low Income,,"BC Farmer’s Market Nutrition Program helps low-income individuals and seniors gain access to healthy, locally grown food through provision of coupons ",https://bcfarmersmarket.org/coupon-program/how-it-works/,,1
BC Farmer's Market Nutrition Program,Financial Supports: Non-Work,Provincial,Income Support,Income Tested,Senior AND Low Income,,"BC Farmer’s Market Nutrition Program helps low-income individuals and seniors gain access to healthy, locally grown food through provision of coupons ",https://bcfarmersmarket.org/coupon-program/how-it-works/,,1
BC Tax Reduction Credit,Financial Supports: Non-Work,Provincial,Income Support,Income Tested,Low Income,,"The B.C. tax reduction credit is a non-refundable tax credit for individuals who have a net income below a certain amount. The credit is reduced by a percentage of an individual's net income over the threshold amount. For the 2018 tax year, the net income threshold is $20,144 and the reduction factor is 3.56% ",https://www2.gov.bc.ca/gov/content/taxes/income-taxes/personal/credits/basic,,2
Camp Fees Supplement,Children and Family,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Dependent child(ren)",Attendance at a recognized camp,A supplement may be provided to fully or partially cover the cost of attendance at a recognized camp for children of income assistance and disability assistance recipients and adult recipients of disability assistance.,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/camp-fees-supplement,Subject to available funding,1
Christmas Supplement,Financial Supports: Non-Work,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",,To assist with extra expenses at Christmas,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/christmas-supplement,,1
BC Climate Action Tax Credit,Financial Supports: Non-Work,Provincial,Income Support,Income Tested,Low Income,,The BC climate action tax credit helps offset the impact of the carbon taxes paid by individuals or families. The amount of the credit depends upon the family size and adjusted family net income.The credit is combined with the federal goods and services tax/ harmonized sales tax (GST/HST) credit into one quarterly payment,https://www2.gov.bc.ca/gov/content/taxes/income-taxes/personal/credits/climate-action,,2
Clothing Supplement for People in Special Care Facilities,Financial Supports: Non-Work,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",Residing in special care facility,Supplement for the purchase of necessary clothing when clothing is not provided by the facility and no alternative resources are available,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/clothing-supplement-for-people-in-special-care-facilities,,1
CommunityLink Funding and Vulnerable Student Supplement,Financial Supports: Non-Work,Provincial,Income Support,Neither,Other,,,,,1
Confirmed Job Supplement,Financial Supports: Non-Work,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",,Supplement may be provided to purchase the essential transportation and work-related items individuals need to begin a job,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/confirmed-job-supplement,,1
Disability Assistance,Financial Supports: Non-Work,Provincial,Income Support,Means Tested,Disability AND Low Income,,"The BC Employment and Assistance Program for Persons with Disabilities provides disability assistance and supplements to provide greater independence for people with disabilities, including security of income, enhanced well-being, and participation in the community",https://www2.gov.bc.ca/gov/content/family-social-supports/services-for-people-with-disabilities/disability-assistance,,2
Fuel Tax Refund for Persons with Disabilities,Financial Supports: Non-Work,Provincial,Income Support,Neither,Disability,,The fuel tax refund program allows people with a qualifying disability to request a refund of the provincial motor fuel tax paid in B.C. on fuel used in an owned or leased vehicle,https://www2.gov.bc.ca/gov/content/taxes/sales-taxes/motor-fuel-carbon-tax/fuel-tax-refund,,1
Funeral Costs,Financial Supports: Non-Work,Provincial,Income Support,Means Tested,Low Income,Estate of deceased and any responsible person has insufficient assets/income,A supplement may be provided to pay necessary funeral costs of any person who dies in BC. ,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/funeral-costs,,1
Hardship Assistance,Financial Supports: Non-Work,Provincial,Income Support,Means Tested,Low Income,,"Hardship assistance is intended to meet the essential needs of persons or families who are not eligible for income assistance under the Employment and Assistance Act or disability assistance under the Employment and Assistance for Persons with Disabilities Act, for a number of reasons specified by regulation. Hardship assistance is not an entitlement, but may be provided at the discretion of the Minister according to legislative and regulatory criteria.  It is provided on a temporary basis, for only one month at a time.  Eligibility for hardship assistance must be re-established each month.",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/hardship-assistance/eligibility-for-hardship-assistance,Temporary. Must re-apply every month.,2
Identification Supplement,Financial Supports: Non-Work,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",Requires ID to be eligible for IA or DA,To cover the cost of obtaining identification for a person in the family unit,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/identification-supplement,,1
Income Assistance: Employable,Financial Supports: Non-Work,Provincial,Income Support,Means Tested,Low Income,3 week work search,The BC Employment and Assistance (BCEA) program is an income and asset tested program that provides income assistance and employment supports to people in need who have no other resources. The program is intended to help move people from income assistance to sustainable employment and to provide income assistance to those who are unable to fully participate in the workforce.,https://www2.gov.bc.ca/gov/content/family-social-supports/income-assistance/apply-for-assistance,,2
Income Assistance: PPMB Designation,Financial Supports: Non-Work,Provincial,Income Support,Means Tested,Low Income,"Barrier to employment such as: homelessness, domestic violence, former child in care, or a criminal record",The PPMB category provides a higher rate of assistance to recipients who have long-term barriers to employment that are not expected to be overcome in the short term despite all reasonable steps by the recipient.,https://www2.gov.bc.ca/gov/content/family-social-supports/income-assistance/apply-for-assistance,,2
Income Assistance: Not Expected to Work,Financial Supports: Non-Work,Provincial,Income Support,Means Tested,Dependent child(ren) AND Low Income,Single parent with youg children,,,,
Legal Aid,Financial Supports: Non-Work,Provincial,Income Support,Neither,Low Income,,"The Legal Services Society offers a range of free legal services to all British Columbians, with priority given to people with low incomes. Services include legal information, advice, and representation",https://lss.bc.ca,,1
Recreation Financial Assistance Programs,Financial Supports: Non-Work,Municipal ,Income Support,Income Tested,Low Income,,"Located in municipalities throughout BC, recreation financial assistance programs provide low income residents with access to basic recreation programs and services at a reduced cost.",,,1
BC Sales Tax Credit,Financial Supports: Non-Work,Provincial,Income Support,Income Tested,Low Income,,The Sales Tax Credit is a program designed to offset the cost of sales tax for low-income taxpayers and their families residing in BC as of December 31st of the tax year,https://www2.gov.bc.ca/gov/content/taxes/income-taxes/personal/credits/sales-tax,,2
Seniors Supplement,Financial Supports: Non-Work,Provincial,Income Support,Income Tested,Senior,,The Senior’s Supplement is a provincial top-up to the federal Old Age Security (OAS)/ Guaranteed Income Supplement (GIS) payment. The Senior’s Supplement ensures a conditionally guaranteed minimum income level for residents of BC and is paid to low-income residents of BC who are 65 years of age and older and who are receiving OAS/ GIS or federal Allowance (formerly Spouse’s Allowance),https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/seniors-supplement,,2
Transportation Supplement  ,Financial Supports: Non-Work,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income) AND Disability",DA recipients only,"The Transportation Supplement is provided to recipients with the Persons with Disabilities (PWD) designation to cover the cost of the bus pass issued through the BC Bus Pass Program, or to assist generally with their transportation costs. ",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/transportation-supplement,,2
Transportation to Alcohol and Drug Facilities,Financial Supports: Non-Work,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",Acceptance to a special care facility that provides residential alcohol and drug treatment in BC,The supplement for transportation to a residential alcohol and drug treatment facility is intended to meet the costs of transportation to and from an approved special care facility for residential alcohol and drug treatment in BC. The supplement is provided to recipients of income assistance and disability assistance when no other funds are available.,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/transportation-to-alcohol-and-drug-facilities-policy-and-procedures,,1
Crime Victim Assistance Program,Financial Supports: Non-Work,Provincial,Income Support,Neither,Other,Victim of Crime,"The Crime Victim Assistance Program (CVAP) assists victims, immediate family members and some witnesses in coping with the effects of violent crime. It provides financial benefits to help offset financial losses and assist in recovery.",https://www2.gov.bc.ca/gov/content/justice/criminal-justice/bcs-criminal-justice-system/if-you-are-a-victim-of-a-crime/victim-of-crime/financial-assistance-benefits,"Includes: medical and dental services, perscription drug expenses, child and homemaker services, disability aids, etc.",1
Victim Travel Fund,Financial Supports: Non-Work,Provincial,Income Support,Neither,Other,Victim of Crime,"You may qualify for help to travel to interviews, hearings and other justice-related proceedings. The Victim Travel Fund provides funds up to $3,000.00 for a family or victim to attend justice-related proceedings in B.C. Eligible expenses may include meals, accommodation and the most cost effective form of travel",https://www2.gov.bc.ca/gov/content/justice/criminal-justice/bcs-criminal-justice-system/if-you-are-a-victim-of-a-crime/victim-of-crime/victim-travel-assistance,,1
Canadian Forces Income Replacement Benefit,Financial Supports: Work-Related,Federal,Income Support,Income Tested,Veteran or Canadian Armed Forces,Diminished or no earnings,The Income Replacement Benefit provides income assistance to maintain income while taking part in the VAC rehabilitation program.,https://www.veterans.gc.ca/eng/financial-support/income-support/income-replacement-benefit,90% of former earnings,1
Canadian Benefit for Parents of Young Victims of Crime,Financial Supports: Work-Related,Federal,Income Support,Income Tested,Other,"Employed, reduction in employment earnings AND child was a victim of a crime",Parents or legal guardians who have taken time away from work and suffered a loss of income to cope with the death or disappearance of their child or children may be eligible for federal income support of $4 50 per week.,https://www.canada.ca/en/employment-social-development/services/parents-young-victims-crime.html,,1
CPP: Children's Benefits,Financial Supports: Work-Related,Federal,Income Support,Neither,Dependent child(ren),Contributor is deceased,The Canada Pension Plan (CPP) children's benefits provide monthly payments to the dependent children of disabled or deceased CPP contributors.,https://www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-childrens-benefit.html,,1
CPP: Children's Benefits,Financial Supports: Work-Related,Federal,Income Support,Neither,Dependent child(ren),Contributor is deceased,The Canada Pension Plan (CPP) children's benefits provide monthly payments to the dependent children of disabled or deceased CPP contributors.,https://www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-childrens-benefit.html,,1
CPP: Death Benefit,Financial Supports: Work-Related,Federal,Income Support,Neither,Other,Contributor is deceased,"The Canada Pension Plan (CPP) death benefit is a one-time, lump-sum payment to the estate on behalf of a deceased CPP contributor.",https://www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-death-benefit.html,Paid to the estate or survivng spouse/common-law partner of deceased,1
CPP: Disability Benefit,Financial Supports: Work-Related,Federal,Income Support,Neither,Disability,,Canada Pension Plan (CPP) provides disability benefits (disability pension and post-retirement disability benefit) to people who have made enough contributions to the CPP and who are disabled and cannot work at any job on a regular basis. ,https://www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-disability-benefit.html,,2
CPP: Retirement Pension,Financial Supports: Work-Related,Federal,Income Support,Neither,Senior,Retired,"The Canada Pension Plan (CPP) retirement pension provides a monthly benefit to eligible applicants. Individuals can apply for and receive a full CPP retirement pension at age 65 or receive it as early as age 60 with a reduction, or as late as age 70 with an increase",https://www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-benefit/eligibility.html,,2
CPP: Survivor's Pension,Financial Supports: Work-Related,Federal,Income Support,Neither,Other,Survivor,"The Canada Pension Plan (CPP) survivor's pension is paid to the person who, at the time of death, is the legal spouse or common-law partner of the deceased contributor.",https://www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-survivor-pension.html,,1
EI: regular benefits,Financial Supports: Work-Related,Federal,Income Support,Income Tested,Other,Unemployed,"Employment Insurance (EI) provides regular benefits to individuals who lose their jobs through no fault of their own (for example, due to shortage of work, seasonal or mass lay-offs) and are available for and able to work, but can't find a job.",https://www.canada.ca/en/services/benefits/ei/ei-regular-benefit.html,,2
EI: caregiving benefits (adult and/or child(ren)),Financial Supports: Work-Related,Federal,Income Support,Income Tested,Other,"Employed, time away from work","Through Employment Insurance, you could receive financial assistance of up to 55% of your earnings, to a maximum of $562 a week. These benefits will help you take time away from work to provide care or support to a critically ill or injured person or someone needing end-of-life care.",https://www.canada.ca/en/services/benefits/ei/caregiving.html,,1
EI: family supplement,Financial Supports: Work-Related,Federal,Income Support,Income Tested,Dependent child(ren) AND Low Income,Unemployed,"If it is determined that your net family income is $25,921 or less per year, that you have children, and that you or your spouse receives the Canada Child Benefit, you are considered a member of a low-income family and may be eligible to receive the EI Family Supplement",https://www.canada.ca/en/services/benefits/ei/ei-regular-benefit/benefit-amount.html,,2
EI: maternity and parental,Financial Supports: Work-Related,Federal,Income Support,Income Tested,Dependent child(ren),"Pregnant OR parent of newborn or newly adopted child AND employed, reduction in earnings","Employment Insurance maternity and parental benefits provide financial assistance to people who are away from work because they're pregnant or have recently given birth, or parents who are away from work to care for their newborn or newly adopted child",https://www.canada.ca/en/services/benefits/ei/ei-maternity-parental.html,,2
EI: sickness,Financial Supports: Work-Related,Federal,Income Support,Income Tested,Other,"Injury or Sickness AND employed, reduction in earnings due to sickness/illness","The Employment Insurance (EI) program offers temporary financial assistance to unemployed workers. This assistance includes providing sickness benefits to people unable to work because of sickness, injury, or quarantine.",https://www.canada.ca/en/services/benefits/ei/ei-sickness.html,,2
Workers Comp. (federal employees),Financial Supports: Work-Related,Federal,Income Support,Neither,Other,Injured at work,The Government Employees Compensation Act (GECA) provides compensation to federal government employees who are injured while on the job or become ill because of their work,https://www.canada.ca/en/employment-social-development/services/health-safety/compensation/federal-employees.html,,1
WorkSafe BC: Health Care Benefits,Financial Supports: Work-Related,Provincial,Income Support,Neither,Other,Injured at work,"Once we receive reports from an injured worker, his or her employer, and health care provider(s), we can determine whether the worker is eligible for benefits. Once we accept your claim, we will cover the cost of the health care services and supplies that are considered reasonably necessary to treat your injuries. This may include medical treatments, hospitalization, medical supplies, rehabilitation, and medications.",https://www.worksafebc.com/en/claims/benefits-services/health-care-benefits,,1
WorkSafe BC: Permanent Disability Benefit ,Financial Supports: Work-Related,Provincial,Income Support,Income Tested,Disability,Injured at work AND injury impairs future earnings capacity,"Sometimes a work-related injury or illness results in a permanent disability. If your disability is likely to impair your future earning capacity, you may be eligible for a permanent disability award from us. The amount of the award depends on the circumstances of your claim.",https://www.worksafebc.com/en/claims/benefits-services/permanent-disability-benefits,,2
WorkSafe BC: Wage loss benefits,Financial Supports: Work-Related,Provincial,Income Support,Income Tested,Other,Injured at work,Wage-loss benefits compensate workers who lose pay due to a work-related injury or illness. Benefits continue until you are able to participate in modified work or return to your usual duties.,https://www.worksafebc.com/en/claims/benefits-services/wage-loss-benefits,,2
Canada Worker's Benefit: General,Financial Supports: Work-Related,Federal,Income Support,Income Tested,Low Income,,The Canada Workers Benefit is a refundable tax credit that is intended to supplement the earnings of low income workers and improves work incentives for low-income Canadians,https://www.canada.ca/en/revenue-agency/programs/about-canada-revenue-agency-cra/federal-government-budgets/budget-2018-equality-growth-strong-middle-class/canada-workers-benefit.html,,2
Canada Worker's Benefit: Disability Supplement,Financial Supports: Work-Related,Federal,Income Support,Income Tested,Disability AND Low Income,,The Canada Workers Benefit is a refundable tax credit that is intended to supplement the earnings of low income workers and improves work incentives for low-income Canadians,https://www.canada.ca/en/revenue-agency/programs/about-canada-revenue-agency-cra/federal-government-budgets/budget-2018-equality-growth-strong-middle-class/canada-workers-benefit.html,,2
First Time Home Buyer Incentive,Housing,Federal,Income Support,Income Tested,Other,"First-time home buyer AND income < $120,000",A means-tested program to be administered by CMHC that helps first-time home buyers by advancing up to 10 percent of the home purchase price for CMHC-insured mortgages so they can take out a smaller mortgage and keep monthly payments lower.  ,https://www.placetocallhome.ca/fthbi/first-time-homebuyer-incentive,"Interest-free loan, repayable in 25 years or when home sells",1
GST/HST New Housing Rebate,Housing,Federal,Income Support,Neither,Other,"House price < $450,000 AND newly built house OR substantially renovated home","The GST/HST new housing rebate allows an individual to recover some of the goods and services tax (GST) or the federal part of the harmonized sales tax (HST) paid for a new or substantially renovated house that is for use as the individual's, or their relation's, primary place of residence, when all of the other conditions are met. ",https://www.canada.ca/en/revenue-agency/services/tax/businesses/topics/gst-hst-businesses/charge-collect-home-construction/new-housing-rebate.html,"(could also be cash, conditional…)",1
Vancouver Rent Bank,Housing,NGO,Income Support,Income Tested,Low Income,Employed,The Vancouver Rent Bank (VRB) offers short term funding available to families and individuals that live in the City of Vancouver and are at risk of eviction or essential utility disconnection due to a temporary shortage of funds,http://www.niccss.ca/VRB,"Loan, paid directly to creditor. Funded by the City of Vancouver and NGO's.",1
Affordable Rental Housing,Housing,Provincial,Income Support,Income Tested,Low Income,,"Affordable rental housing is for people who have a low to moderate incomes but may not be eligible for subsidized housing. Affordable rental housing is housing with rents equal to, or lower than, average rates in the private-market",https://www.bchousing.org/housing-assistance/rental-housing/affordable-rental-housing,"May or may not be low income - income eligiblity can be up to $80,000 dependent on organization. May also require a source of income (i.e. employment)",2
BC Home Renovation Tax Credit,Housing,Provincial,Income Support,Neither,Disability,,The Home Renovation Tax Credit for Seniors and Persons with Disabilities assists eligible individuals 65 and over and persons with disabilities with the cost of certain permanent home renovations to improve accessibility or be more functional or mobile at home,https://www2.gov.bc.ca/gov/content/taxes/income-taxes/personal/credits/seniors-renovation,,1
BC Home Renovation Tax Credit,Housing,Provincial,Income Support,Neither,Disability,,The Home Renovation Tax Credit for Seniors and Persons with Disabilities assists eligible individuals 65 and over and persons with disabilities with the cost of certain permanent home renovations to improve accessibility or be more functional or mobile at home,https://www2.gov.bc.ca/gov/content/taxes/income-taxes/personal/credits/seniors-renovation,,1
BC Hydro Customer Crisis Fund,Housing,Provincial,Income Support,Neither,Other,Overdue payments AND temporary financial crisis,"A grant payment to avoid disconnection of service may be available to residential customers who have fallen behind on their BC Hydro bill due to a temporary financial crisis, such as a loss of employment or income, unanticipated medical expenses, or a death in the family",https://app.bchydro.com/accounts-billing/bill-payment/ways-to-pay/customer-crisis-fund.html,"Grant is applied directly to arrears. Those on IA, DA, GIS, the Allowance, or a BC Housing program are automatically eligible.",2
Co-op Share Purchase Supplement,Housing,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",,A lump-sum repayable supplement to assist with the cost of purchasing shares in a co-operative housing corporation.,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/co-op-share-purchase-supplement,(could also be in-kind - tied to cost of co-op share),1
Energy Conservation Assistance Program,Housing,Provincial,Income Support,Income Tested,Low Income,,"The Energy Conservation Assistance Program (ECAP) provides income-qualified residential customers with a free home energy evaluation, energy-saving products and advice",https://www.bchydro.com/powersmart/residential/savings-and-rebates/savings-based-on-income/free-product-install-and-advice.html,,1
Home Adaptations for Independence,Housing,Provincial,Income Support,Means Tested,Disability AND Low Income,,The Home Adaptations for Independence (HAFI) program provides financial assistance for home modifications for eligible low-income individuals with mobility or health issues,https://www.bchousing.org/housing-assistance/HAFI,Subject to available funding.,1
Home Owner Grant: general,Housing,Provincial,Income Support,Neither,Other,Rural homeowner,"The home owner grant reduces the amount of property tax you pay for your principal residence. Supplemental grants are available for sub-populations: seniors, veterans, and people with disabilities",https://www2.gov.bc.ca/gov/content/taxes/property-taxes/annual-property-tax/home-owner-grant,,
Home Owner Grant: senior,Housing,Provincial,Income Support,Neither,Senior,Rural homeowner,"The home owner grant reduces the amount of property tax you pay for your principal residence. Supplemental grants are available for sub-populations: seniors, veterans, and people with disabilities",https://www2.gov.bc.ca/gov/content/taxes/property-taxes/annual-property-tax/home-owner-grant,,
Home Owner Grant: disability,Housing,Provincial,Income Support,Neither,Disability,Rural homeowner,"The home owner grant reduces the amount of property tax you pay for your principal residence. Supplemental grants are available for sub-populations: seniors, veterans, and people with disabilities",https://www2.gov.bc.ca/gov/content/taxes/property-taxes/annual-property-tax/home-owner-grant,,
Home Owner Grant: veteran,Housing,Provincial,Income Support,Neither,Veteran or Canadian Armed Forces,Rural homeowner,"The home owner grant reduces the amount of property tax you pay for your principal residence. Supplemental grants are available for sub-populations: seniors, veterans, and people with disabilities",https://www2.gov.bc.ca/gov/content/taxes/property-taxes/annual-property-tax/home-owner-grant,,
Home Owner Grant: Low Income Grant Supplement for People with Disabilities or Seniors,Housing,Provincial,Income Support,Income Tested,Senior AND Low Income,Rural homeowner,The low income grant supplement allows low income seniors to supplement their home owner grant if it’s been reduced or eliminated because of the high assessed value of their principal residence.,https://www2.gov.bc.ca/gov/content/taxes/property-taxes/annual-property-tax/home-owner-grant/senior/low-income,,1
Home Owner Grant: Low Income Grant Supplement for People with Disabilities or Seniors,Housing,Provincial,Income Support,Income Tested,Disability AND Low Income,Rural homeowner,The low income grant supplement allows low income homeowners with a disability or living with a person with a disability to supplement their home owner grant if it’s been reduced or eliminated because of the high assessed value of their principal residence.,https://www2.gov.bc.ca/gov/content/taxes/property-taxes/annual-property-tax/home-owner-grant/person-with-disabilities/low-income,,1
Home Owner Grant: Low Income Grant Supplement for Veterans,Housing,Provincial,Income Support,Income Tested,Veteran or Canadian Armed Forces AND Low Income,Rural homeowner,The low income grant supplement allows the surviving spouses of veterans who received a War Veterans Allowance and who have a low income to supplement their home owner grant if it’s been reduced or eliminated because of the high assessed value of their principal residence.,https://www2.gov.bc.ca/gov/content/taxes/property-taxes/annual-property-tax/home-owner-grant/veteran/wva,,1
Homeless Shelters ,Housing,Provincial,Income Support,Income Tested,Other,Homeless,A range of programs and services available in BC to assist people who are homeless or at risk of homelessness,https://www.bchousing.org/housing-assistance/homelessness-services,,2
Homeless Rent Supplements,Housing,Provincial,Income Support,Income Tested,Other,Homeless,,,,
Independent Living BC Program,Housing,Provincial,Income Support,Means Tested,Disability,,"Independent Living BC (ILBC) is a subsidized, assisted-living program that provides housing with support services to seniors and people with disabilities. If you qualify, you could live in your own unit in an assisted living residence",https://www.bchousing.org/housing-assistance/housing-with-support/independent-living-bc-program,Subsidized assisted living,1
Independent Living BC Program,Housing,Provincial,Income Support,Means Tested,Senior,,"Independent Living BC (ILBC) is a subsidized, assisted-living program that provides housing with support services to seniors and people with disabilities. If you qualify, you could live in your own unit in an assisted living residence",https://www.bchousing.org/housing-assistance/housing-with-support/independent-living-bc-program,Subsidized assisted living,1
"Moving, Transportation and Living Costs",Housing,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",,"A supplement may be provided to recipients of income assistance, hardship assistance, or disability assistance who have no other resources to cover necessary moving, transportation, and living expenses.",https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/moving-transportation-and-living-costs,,1
Pre-natal Shelter Supplement,Housing,Provincial,Income Support,Means Tested,"IA, DA and/or HA supplement (Low Income)",Pregnant AND No spouse or dependent children,A pre-natal shelter supplement is provided to single pregnant recipients with no spouse and no dependent child. This supplement is intended to assist single pregnant recipients in meeting extra costs associated with securing or maintaining stable accommodation prior to the birth of their child.,https://www2.gov.bc.ca/gov/content/governments/policies-for-government/bcea-policy-and-procedure-manual/general-supplements-and-programs/pre-natal-shelter-supplement,,1
Property Tax Deferral,Housing,Provincial,Income Support,Neither,Disability,Minimum 25% equity in home,Tax deferment is a low interest loan program that helps qualified B.C. homeowners pay their annual property taxes on their principal residence.,https://www2.gov.bc.ca/gov/content/taxes/property-taxes/annual-property-tax/defer-taxes,Interest is charged on the amount deferred.,1
Property Tax Deferral,Housing,Provincial,Income Support,Neither,Senior,"Minimum 25% equity in home, Senior (>= 55 years)  ",Tax deferment is a low interest loan program that helps qualified B.C. homeowners pay their annual property taxes on their principal residence.,https://www2.gov.bc.ca/gov/content/taxes/property-taxes/annual-property-tax/defer-taxes,Interest is charged on the amount deferred.,1
Property Tax Deferral: Families with Children,Housing,Provincial,Income Support,Neither,Dependent child(ren),Minimum 15% equity in home,Tax deferment is a low interest loan program that helps qualified B.C. homeowners pay their annual property taxes on their principal residence.,https://www2.gov.bc.ca/gov/content/taxes/property-taxes/annual-property-tax/defer-taxes,,1
Rental Assistance Program,Housing,Provincial,Income Support,Means Tested,Dependent child(ren) AND Low Income,Pay more than 30% of gross monthly income to rent,The Rental Assistance Program provides eligible low-income working families with cash assistance to help with their monthly rent payments.,https://www.bchousing.org/housing-assistance/rental-assistance/RAP,"Gross annual income of $40,000 or less",2
